,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
169,경기도,부천시,2021,01,전세,579,29434,2021-01-01,apt
170,경기도,부천시,2021,02,월세,242,6055,2021-02-01,apt
171,경기도,부천시,2021,02,전세,708,27917,2021-02-01,apt
172,경기도,부천시,2021,03,월세,286,5612,2021-03-01,apt
173,경기도,부천시,2021,03,전세,765,28568,2021-03-01,apt
174,경기도,부천시,2021,04,월세,257,5578,2021-04-01,apt
175,경기도,부천시,2021,04,전세,632,27980,2021-04-01,apt
176,경기도,부천시,2021,05,월세,249,6351,2021-05-01,apt
177,경기도,부천시,2021,05,전세,691,29376,2021-05-01,apt
178,경기도,부천시,2021,06,월세,307,6105,2021-06-01,apt
179,경기도,부천시,2021,06,전세,791,31083,2021-06-01,apt
180,경기도,부천시,2021,07,월세,303,5669,2021-07-01,apt
181,경기도,부천시,2021,07,전세,808,32035,2021-07-01,apt
182,경기도,성남시 분당구,2021,01,월세,277,25347,2021-01-01,apt
183,경기도,성남시 분당구,2021,01,전세,746,54825,2021-01-01,apt
184,경기도,성남시 분당구,2021,02,월세,261,24822,2021-02-01,apt
185,경기도,성남시 분당구,2021,02,전세,720,55657,2021-02-01,apt
186,경기도,성남시 분당구,2021,03,월세,281,25437,2021-03-01,apt
187,경기도,성남시 분당구,2021,03,전세,793,55932,2021-03-01,apt
188,경기도,성남시 분당구,2021,04,월세,264,25278,2021-04-01,apt
189,경기도,성남시 분당구,2021,04,전세,692,54890,2021-04-01,apt
190,경기도,성남시 분당구,2021,05,월세,332,24452,2021-05-01,apt
191,경기도,성남시 분당구,2021,05,전세,951,55871,2021-05-01,apt
192,경기도,성남시 분당구,2021,06,월세,556,22254,2021-06-01,apt
193,경기도,성남시 분당구,2021,06,전세,1146,55685,2021-06-01,apt
194,경기도,성남시 분당구,2021,07,월세,498,24409,2021-07-01,apt
195,경기도,성남시 분당구,2021,07,전세,1193,56221,2021-07-01,apt
196,경기도,성남시 수정구,2021,01,월세,154,15877,2021-01-01,apt
197,경기도,성남시 수정구,2021,01,전세,128,58170,2021-01-01,apt
198,경기도,성남시 수정구,2021,02,월세,200,11838,2021-02-01,apt
199,경기도,성남시 수정구,2021,02,전세,114,55045,2021-02-01,apt
200,경기도,성남시 수정구,2021,03,월세,163,16193,2021-03-01,apt
201,경기도,성남시 수정구,2021,03,전세,152,51748,2021-03-01,apt
202,경기도,성남시 수정구,2021,04,월세,98,29755,2021-04-01,apt
203,경기도,성남시 수정구,2021,04,전세,160,58053,2021-04-01,apt
204,경기도,성남시 수정구,2021,05,월세,93,23129,2021-05-01,apt
205,경기도,성남시 수정구,2021,05,전세,316,56366,2021-05-01,apt
206,경기도,성남시 수정구,2021,06,월세,123,20700,2021-06-01,apt
207,경기도,성남시 수정구,2021,06,전세,245,57120,2021-06-01,apt
208,경기도,성남시 수정구,2021,07,월세,128,21000,2021-07-01,apt
209,경기도,성남시 수정구,2021,07,전세,240,56304,2021-07-01,apt
210,경기도,성남시 중원구,2021,01,월세,75,14625,2021-01-01,apt
211,경기도,성남시 중원구,2021,01,전세,121,35998,2021-01-01,apt
212,경기도,성남시 중원구,2021,02,월세,75,9838,2021-02-01,apt
213,경기도,성남시 중원구,2021,02,전세,117,37936,2021-02-01,apt
214,경기도,성남시 중원구,2021,03,월세,66,11339,2021-03-01,apt
215,경기도,성남시 중원구,2021,03,전세,146,34358,2021-03-01,apt
216,경기도,성남시 중원구,2021,04,월세,50,13757,2021-04-01,apt
217,경기도,성남시 중원구,2021,04,전세,125,37490,2021-04-01,apt
218,경기도,성남시 중원구,2021,05,월세,68,12549,2021-05-01,apt
219,경기도,성남시 중원구,2021,05,전세,148,34180,2021-05-01,apt
220,경기도,성남시 중원구,2021,06,월세,75,7581,2021-06-01,apt
221,경기도,성남시 중원구,2021,06,전세,164,38841,2021-06-01,apt
222,경기도,성남시 중원구,2021,07,월세,78,10976,2021-07-01,apt
223,경기도,성남시 중원구,2021,07,전세,186,39233,2021-07-01,apt
224,경기도,수원시 권선구,2021,01,월세,178,7384,2021-01-01,apt
225,경기도,수원시 권선구,2021,01,전세,298,27904,2021-01-01,apt
226,경기도,수원시 권선구,2021,02,월세,160,7987,2021-02-01,apt
227,경기도,수원시 권선구,2021,02,전세,261,28310,2021-02-01,apt
228,경기도,수원시 권선구,2021,03,월세,214,7600,2021-03-01,apt
229,경기도,수원시 권선구,2021,03,전세,341,27839,2021-03-01,apt
230,경기도,수원시 권선구,2021,04,월세,317,8211,2021-04-01,apt
231,경기도,수원시 권선구,2021,04,전세,292,27764,2021-04-01,apt
232,경기도,수원시 권선구,2021,05,월세,172,9196,2021-05-01,apt
233,경기도,수원시 권선구,2021,05,전세,325,28215,2021-05-01,apt
234,경기도,수원시 권선구,2021,06,월세,224,8391,2021-06-01,apt
235,경기도,수원시 권선구,2021,06,전세,422,29441,2021-06-01,apt
236,경기도,수원시 권선구,2021,07,월세,293,6566,2021-07-01,apt
237,경기도,수원시 권선구,2021,07,전세,520,29196,2021-07-01,apt
238,경기도,수원시 영통구,2021,01,월세,195,11031,2021-01-01,apt
239,경기도,수원시 영통구,2021,01,전세,494,36732,2021-01-01,apt
240,경기도,수원시 영통구,2021,02,월세,193,11783,2021-02-01,apt
241,경기도,수원시 영통구,2021,02,전세,460,37037,2021-02-01,apt
242,경기도,수원시 영통구,2021,03,월세,180,10367,2021-03-01,apt
243,경기도,수원시 영통구,2021,03,전세,486,36870,2021-03-01,apt
244,경기도,수원시 영통구,2021,04,월세,168,10765,2021-04-01,apt
245,경기도,수원시 영통구,2021,04,전세,395,36260,2021-04-01,apt
246,경기도,수원시 영통구,2021,05,월세,190,12206,2021-05-01,apt
247,경기도,수원시 영통구,2021,05,전세,558,39787,2021-05-01,apt
248,경기도,수원시 영통구,2021,06,월세,312,10258,2021-06-01,apt
249,경기도,수원시 영통구,2021,06,전세,763,38828,2021-06-01,apt
250,경기도,수원시 영통구,2021,07,월세,357,10531,2021-07-01,apt
251,경기도,수원시 영통구,2021,07,전세,846,39477,2021-07-01,apt
252,경기도,수원시 장안구,2021,01,월세,82,7835,2021-01-01,apt
253,경기도,수원시 장안구,2021,01,전세,180,27950,2021-01-01,apt
254,경기도,수원시 장안구,2021,02,월세,44,4432,2021-02-01,apt
255,경기도,수원시 장안구,2021,02,전세,193,26609,2021-02-01,apt
256,경기도,수원시 장안구,2021,03,월세,70,6815,2021-03-01,apt
257,경기도,수원시 장안구,2021,03,전세,200,28869,2021-03-01,apt
258,경기도,수원시 장안구,2021,04,월세,69,6504,2021-04-01,apt
259,경기도,수원시 장안구,2021,04,전세,163,29382,2021-04-01,apt
260,경기도,수원시 장안구,2021,05,월세,66,7159,2021-05-01,apt
261,경기도,수원시 장안구,2021,05,전세,196,28943,2021-05-01,apt
262,경기도,수원시 장안구,2021,06,월세,91,7364,2021-06-01,apt
263,경기도,수원시 장안구,2021,06,전세,294,32017,2021-06-01,apt
264,경기도,수원시 장안구,2021,07,월세,116,9182,2021-07-01,apt
265,경기도,수원시 장안구,2021,07,전세,365,32667,2021-07-01,apt
266,경기도,수원시 팔달구,2021,01,월세,91,4548,2021-01-01,apt
267,경기도,수원시 팔달구,2021,01,전세,168,25544,2021-01-01,apt
268,경기도,수원시 팔달구,2021,02,월세,185,6252,2021-02-01,apt
269,경기도,수원시 팔달구,2021,02,전세,162,26843,2021-02-01,apt
270,경기도,수원시 팔달구,2021,03,월세,137,6725,2021-03-01,apt
271,경기도,수원시 팔달구,2021,03,전세,214,25293,2021-03-01,apt
272,경기도,수원시 팔달구,2021,04,월세,176,4802,2021-04-01,apt
273,경기도,수원시 팔달구,2021,04,전세,169,27104,2021-04-01,apt
274,경기도,수원시 팔달구,2021,05,월세,85,4803,2021-05-01,apt
275,경기도,수원시 팔달구,2021,05,전세,245,26799,2021-05-01,apt
276,경기도,수원시 팔달구,2021,06,월세,110,5034,2021-06-01,apt
277,경기도,수원시 팔달구,2021,06,전세,256,29558,2021-06-01,apt
278,경기도,수원시 팔달구,2021,07,월세,139,5231,2021-07-01,apt
279,경기도,수원시 팔달구,2021,07,전세,234,27606,2021-07-01,apt
280,경기도,시흥시,2021,01,월세,341,5357,2021-01-01,apt
281,경기도,시흥시,2021,01,전세,569,23994,2021-01-01,apt
282,경기도,시흥시,2021,02,월세,264,4936,2021-02-01,apt
283,경기도,시흥시,2021,02,전세,567,22559,2021-02-01,apt
284,경기도,시흥시,2021,03,월세,455,7387,2021-03-01,apt
